Opinions,Drivers
Saw the car on the road today and i found it to have good enough road presence.,Road Presence
Built quality is very solid and a quick peppy engine.,Build Quality
Even it's base model has all features and safety like traction control abs ebd etc,Safety Features
The diesel engine is providing extreme performance to the car like a beast.,Performance
It's very comfortable and doesn't make us tired at all.,Comfort
The black and white colors look very aesthetic.,Looks
Maintainance cost is very less I would say negligible.,Cost
The car is very durable and has a fantastic music system.,Infotainment System
"If the ground clearance would have been a little bit more, I can use it in my pipeline projects.",Ground Clearance
"the real deal breakers are the sunroof, powered seats, the 360 deg camera and the ventilated seats.",Ventilated Seats
The all black interiors make it pretty classy and the panoramic sunroof makes the cabin feel airy.,Sunroof
And boot space is extra large.,Boot Space
It's a complete family car.,Family Car
new features were added to the tucson (the panaromic sunroof and the wireless charging),Wireless Charging
"They have put in true luxury features for a change, the mood lighting, the bose speakers, rear door curtains and 2 stage rear seat recline.",Mood Lights
It has very weak road presence compared to even a creta.,Road Presence
Poor build quality.,Build Quality
I am absolutely disappointed with the lack of safety features in the tech line.,Safety Features
Hated it to the guts due to the cvt performance.,Performance
Comfort and insulation are very bad,Comfort
Whereas the Indian model's interior looks outright ugly in comparison.,Looks
"And by heaven, the price tags of cars these days are verging on the ridiculously Stratospheric.",Cost
One of the worst bose systems I have seen is in this car,Infotainment System
Chaps wanting SUV or crossover type ground clearances may be disappointed.,Ground Clearance
"Front seating is very comfortable, not sure if its because of the ventilate seat option, but it felt maybe a little too soft.",Ventilated Seats
"This is the base petrol model, doesn't even have a sunroof nor front parking sensors.",Sunroof
"But for me, all it does is eats away god amount of usable the boot space, which is already way behind in Creta than the competition, i.e., around 475 ltrs.",Boot Space
I wish they had wireless charger as well which even venue has!,Wireless Charging
The mood lights are just too gimmicky.,Mood Lights
Creta as a whole is a perfect car and it has good road presence and dynamic,Road Presence
"Speed, average and built quality and interiors are good.",Build Quality
Safety features are good with six airbags and other features such as abs ebd.,Safety Features
Performance is very well highly trustable in terms of engine and builds quality.,Performance
It is very spacious and comfortable.,Comfort
Premium look and highly fuel-efficient compared to other SUVs which fall under this price range.,Looks
"Ground clearance-10/10 
 suitable for most of the bad roads and the soft suspension makes low speed rides on bad roads heaven.",Ground Clearance
Ventilated seat is a very good feature to be there as many cars at this price does not provide this.,Ventilated Seats
"Also when you open the sunroof, it switches to fresh air mode.",Sunroof
"New wagon with a very practically designed 340 liters boot space, tall seating position, easy ingress/egress –",Boot Space
It has classy interiors and a complete nuclear family car.,Family Car
"New goodies: sunroof, wireless charging etc.",Wireless Charging
"So we have to pay 1.5l rupees for useless features like tiny touch screen with reverse camera, sun glass holder , steering mounted buttons , front fog lamp.",Safety Features
"The poor performance of the engine, I am using for the last year but I am fully dissatisfied with the engine performance.",Performance
"Since it's a Korean car, it gets tiny seats.",Comfort
But yeah this iteration of the Creta looks terrible.,Looks
"The same car now costs roughly 2.5x what it did then, which is atrocious.",Cost
"The music system is very outdated and lethargic with a 
 a lot of bugs.",Infotainment System
"Since wireless charging is a hit or miss, i did not bother much. 
 however since yesterday only the red power light comes on and the pad gets warm even if i have no phones placed on it.",Wireless Charging
All safety features are available in gl itself.,Safety Features
"In terms of performance, Tucson just blows the Tiguan away.",Performance
"Ultimate design, ultimate feature, comfortable seats, and price.",Comfort
Black looks so good,Looks
"My requirement is for a reliable, pocket-friendly highway cruiser with low maintenance costs.",Cost
"The sunroof(kids are crazy about it)
 decent ground clearance
 lovely music system seamlessly connects to my phone 
 wireless charger.",Infotainment System
The car is very spacious and the panoramic sunroof makes it feel even more spacious.,Sunroof
front parking sensors missing in gl trim.,Safety Features
The thigh support is also not great.,Comfort
"However, the unit looks outdated with poor resolution and colors, clearly looks a generation older.",Looks
There is one price range where the consumers have very few options.,Cost
More space and a much better road presence.,Road Presence
"The safety features and obviously, long-running performance make it all worth it!",Safety Features
"The safety features and obviously, long-running performance make it all worth it!",Performance
"It comes with very good legroom but its quite less comfort, the led screen is a little small and the overall interior is disappointed by many, but it's good enough.",Comfort
Looks gorgeous in silver and black color.,Looks
The maintenance costs are barely 10-15k a year.,Cost
"In the interior, it has got many features like the 8-inch touch screen infotainment system with reverse parking sensors with a camera.",Infotainment System
Ground clearance is good and leg rooms is more than enough for tall people also.,Ground Clearance
It has segment first features like panaromic sunroof and electronic parking brakes.,Sunroof
This is the most four-wheel 4x4 SUV in India ground clear is very good and good looking big interior boot space,Boot Space
"Best car, long drive is very smoothly no harassment seating space long distance, the look is very nice complete family car interior very beautiful, best mileage, jeep compass completely wonderful car...",Family Car
"He seems to have serious misgivings about the overall build quality and ownership costs, given the extent of the damage and his past experience - an unexplainable diesel pump leak within 10 months, with only 10k km of driving on city roads.",Build Quality
360 degree parking camera much expected at this hefty price!,Safety Features
Performance very bad experience,Performance
"Cons:
 
 1.)too pricey
 2.)poor rear-seat comfort and feels claustrophobic and not good for three adults.",Comfort
3. music system response is slow and until today it hanged at least 7-8 times.,Infotainment System
"For the price, it misses out on key features like a tpms, ventilated seats, hid lights only on top variant, etc.",Ventilated Seats
"Along with the features missing, aci says that the panoramic sunroof will be a paid option.",Sunroof
The built quality of the car is solid with a good pick up power.,Build Quality
Features as standard across all variants like ventilated disc brakes all around and dual airbags.,Safety Features
"Also, the 1.8 tsi (even the 1.4tsi) offers explosive performance which no car <25 lakhs can match.",Performance
We were able to sit behind each other very comfortably with legroom to spare.,Comfort
"This Kia looks very classy, especially the front end.",Looks
"I think maintenance costs will be higher, lesser upgrade options for accessories in the market.",Cost
Bose sound system? wow,Infotainment System
Ground clearance of the vehicle is quite good but could have been a little more.,Ground Clearance
"gtx with dct which most people are after does miss out on quite a few features like:-
 sunroof, bose system, ventilated seats etc",Ventilated Seats
The interiors are quite refined and had a huge sunroof.,Sunroof
Seltos looks like a perfect packaged family car with some gimmick to give sporty appeal.,Family Car
"The equipment list and technology offered is mind-boggling for this segment (360 camera, sunroof, wireless charging etc etc) - it would make some german luxury cars look like bare bones vehicles!!",Wireless Charging
"Not really impressed with the built quality, exterior look flashy but not robust.",Build Quality
"It reminded her of her father's 2011 Verna, read terribly bouncy and uncomfortable.",Comfort
It feels too much cost-cutting just like Creta.,Cost
"Boot space says 433 l. seriously, i don't find the space usable for the number.",Boot Space
Wireless charger - don't need it,Wireless Charging
"Never expected such a marvel from Mahindra, they have rocked the market, value for money, excellent build quality, features, and remarkable power.",Build Quality
"the car has soo many safety features, that is awesome",Safety Features
Overall a good performance.,Performance
It is a full package with features and comfort.,Comfort
Nice car.,Looks
It’s n amazing car with great features & value for money.,Cost
Mahindra Alturas g4 is a brilliant idea for automatic transmission and a brand new published car and a really brilliant body and even with a 360 rotator camera and with parking sensors and with an amazing 8-inch infotainment system and a broad contour with a three-spoke steering wheel and has an amazing Neapolitan leather.,Infotainment System
"Superbly packaged, classy and extremely comfortable - including such bits as the ventilated seats (front only) & high quality of finish.",Ventilated Seats
Enjoy the sun with open sunroof in the early morning drive.,Sunroof
But the worst thing I felt is the last seat is low no thigh support and the window for the 3rd row is very small.,Comfort
Looks are so lame...,Looks
"In your case, the life with Toyota has been even longer than ours, so, getting down to endeavour is in itself a slight risk (what with higher cost of maintenance, uncertain future of ford in India, low mileage, tight interior space (we found the back seat space relatively tighter than Fortuner), unusable third row, very high stance (difficult for elders) etc, that going for Mahindra maybe a even worse case scenario.",Cost
"Exterior and interior is very good, road presence is very good.",Road Presence
It combines premium build quality with all the latest technologies to offer a premium quality experience.,Build Quality
"Could have added more features like auto parking,front sensor and all the door glasses automatically closes when it is locked.",Safety Features
Better performance than any other car.,Performance
It's a complete package of luxury and comfort.,Comfort
It is a very comfortable and royal looking car.,Looks
Good car with a price tag but the height of the car should be a little higher.,Cost
"This car is very smooth and powerful than other cars at this price,Mahindra XUV is the best safe car than other Mahindra car these power and torque very good, infotainment system are so nice",Infotainment System
It has the best ground clearance in the segment and its cabin is more spacious than other and it is value for money product,Ground Clearance
"Sunroof make it more spectacular, very comfortable even for very healthy persons.",Sunroof
Great leg space at the back and with this a complete family car to enjoy your vacation if you are on a long drive.,Family Car
The Mahindra xuv500 is a very poor quality car.,Build Quality
I'm 5.9 and I feel uncomfortable in the third row due to lack of under-thigh support and leg space.,Comfort
"If you have to travel long, then you need to fix a roof carrier, which spoils the entire look of XUV",Looks
"Maintenance costs though are very low, with one service costing a little over 3k.",Cost
Pathetic music system,Infotainment System
Glass did not close in one tough and sunroof also,Sunroof
"But rear-seat little short, and boot space is little, please increase boot space.",Boot Space
The road presence of the car is fabulous...,Road Presence
This car has amazing safety features and strong built quality.,Build Quality
It looks like a sturdy and smart car.,Looks
"Not that much costly...look and performance vise better than others, I recommend to myself..to buy this one",Cost
The huge infotainment system really catches attention.,Infotainment System
"Mg hector is a very high technology car, and I love it and this car price is also less as compared to its feature and this car is having nice ground clearance and this car is fabulous.",Ground Clearance
"Larger boot space, more comfort & bigger size.",Boot Space
"So if anyone wants to buy a good family car, then mg hector is the best choice.",Family Car
Poor quality and road presence.,Road Presence
"in safety features, harrier is an average.",Safety Features
I think it's worthless in waiting for this hector engine performance.,Performance
I can feel how uncomfortable this is for passengers as well as drivers,Comfort
It looks horrible from the side.,Looks
This is how price inflation is happening unnecessarily in every sector and things are getting costlier..!,Cost
The infotainment system is average but not best.,Infotainment System
MG Hector in comparison looks like a mpv in the side angle and also the ground clearance is very bad.,Ground Clearance
non availability of ventilated seats,Ventilated Seats
"Worst part is the curtain of sunroof, which looks like a mosquito net, very thin.",Sunroof
I love the style and design of this car but there is no wireless charging in this vehicle.,Wireless Charging
The build quality is very high.,Build Quality
"Its gets 9 airbags, rear parking camera, rear parking sensor, park assist,abs, ebs, ebd, hill hold assist and the list just doesn't stop",Safety Features
It's a better performer than its rivals.,Performance
"Overall, the seats are comfortable, the cabin, spacious and refined and the feature list (very) long, with a spattering of clever touches.",Comfort
Those rims look very classic and taking the car to the next level.,Looks
In fact a 6 seater would definitely be comfortable in those back seats.. also comes with the recline function in 40:20:40 split.. and one added up features what Skoda calls nap pack is what I like the most.. also comes with rear ac vents as well as 12v socket which is also good for this price range of car..coming to the third row.. its better suitable for kids..,Cost
I love the sound system.,Infotainment System
"The Skoda kodiaq scout possesses some serious off-road capabilities, thanks to its better approach and departure angles and slightly higher ground clearance (194mm).",Ground Clearance
The interior of the car is eye-catching and feels roomy due to the large sunroof.,Sunroof
"It has smooth brakes, comfortable seats, appropriate leg space, sufficient boot space, and enough ground clearance.",Boot Space
"Very good design, a long drive is very good in this family car like Audi q7",Family Car
I feel the rear seat comfort very unsettling and feel every small detail of the road creeping into the back and spine.,Comfort
The black bumpers suddenly look like an eyesore.,Looks
I didn't like the ground clearance of the Tiguan and I find it too small.,Ground Clearance
You are gonna have a long fight for the sunroof thing,Sunroof
It has an immense road presence.,Road Presence
The main thing I like about the car is its build quality.,Build Quality
