Topic,Word,P
0,find,0.02289152517914772
0,system,0.01883326657116413
0,space,0.017958609387278557
0,road,0.017783058807253838
0,package,0.01476723700761795
0,feature,0.01464113313704729
0,write,0.014481102116405964
0,documentation,0.014481077902019024
0,experience,0.014133337885141373
0,music,0.013632364571094513
1,engine,0.026819631457328796
1,term,0.01656085066497326
1,highway,0.015642140060663223
1,city,0.015642020851373672
1,tata,0.015300965867936611
1,facility,0.014287593774497509
1,highly,0.014116834849119186
1,performance,0.013658594340085983
1,punchy,0.011778358370065689
1,window,0.011760288849473
2,quality,0.03161686286330223
2,build,0.02869351953268051
2,Jeep,0.023048564791679382
2,load,0.019501985982060432
2,seat,0.018923591822385788
2,provide,0.0185759998857975
2,compass,0.018468869850039482
2,ventilate,0.018063202500343323
2,specification,0.01624520681798458
2,htx+,0.015144376084208488
3,feature,0.025573544204235077
3,car,0.023966582491993904
3,love,0.02324935793876648
3,price,0.016663696616888046
3,provide,0.01614558883011341
3,version,0.015352711081504822
3,point,0.014924075454473495
3,thesesafety,0.014813778921961784
3,power,0.014781083911657333
3,want,0.01382136158645153
4,mileage,0.01788679137825966
4,car,0.015919001772999763
4,build,0.01583455130457878
4,quality,0.01452576369047165
4,drive,0.014448633417487144
4,highway,0.012936052866280079
4,family,0.012134071439504623
4,definitely,0.011218086816370487
4,SUV,0.010900912806391716
4,smoothen,0.010841850191354752
5,comfort,0.026529060676693916
5,like,0.02297789230942726
5,performance,0.02273532561957836
5,model,0.01855572871863842
5,experience,0.017704909667372704
5,quality,0.015732262283563614
5,engine,0.015711015090346336
5,increase,0.014422431588172913
5,compromise,0.014250466600060463
5,servicing,0.013474605046212673
6,standard,0.023559492081403732
6,country,0.02007722295820713
6,mirror,0.01866074651479721
6,petrol,0.016823044046759605
6,automatically,0.016789395362138748
6,care,0.015364859253168106
6,sensor,0.014018133282661438
6,reliability,0.013665194623172283
6,Fortuner,0.01340516284108162
6,road,0.013309934176504612
7,clearance,0.020161082968115807
7,ground,0.020158788189291954
7,interior,0.015588567592203617
7,measure,0.015347895212471485
7,awkwardly,0.014817382209002972
7,warmly,0.014514337293803692
7,accept,0.014514298178255558
7,tour,0.014353478327393532
7,family,0.014139204286038876
7,superb,0.013867178000509739
8,abs,0.02309482917189598
8,ebd,0.022283004596829414
8,massive.fully,0.019499987363815308
8,feature,0.01809977926313877
8,tire,0.014937087893486023
8,affordable.comfort,0.014060502871870995
8,series,0.014060481451451778
8,car,0.01206451840698719
8,andstart,0.011720647104084492
8,airbag,0.011435830034315586
9,luxury,0.027921441942453384
9,beast,0.02127310261130333
9,class,0.017678750678896904
9,definitely,0.01637459173798561
9,run,0.016372622922062874
9,spot,0.015719296410679817
9,money,0.015183891169726849
9,awesome,0.01518342923372984
9,love,0.013971592299640179
9,family,0.012835349887609482
10,power,0.02167329378426075
10,lead,0.01896657794713974
10,see,0.013639778830111027
10,steer,0.01297496072947979
10,mileage,0.012773741036653519
10,build,0.01257715467363596
10,king,0.012335513718426228
10,rock,0.0122152641415596
10,marvel,0.01221522968262434
10,ground,0.011698896065354347
11,delivery,0.019715536385774612
11,add,0.01750347949564457
11,awesome,0.016162339597940445
11,look,0.013644875027239323
11,luxury,0.013136589899659157
11,andit,0.012620508670806885
11,power,0.012267992831766605
11,shoulder,0.012207486666738987
11,confirm,0.011359709315001965
11,car,0.011071822606027126
12,surround,0.022193308919668198
12,give,0.022013844922184944
12,hatchback,0.02076708897948265
12,interior,0.020407885313034058
12,thing,0.020232688635587692
12,like,0.01961825042963028
12,ivt,0.01942649856209755
12,miss,0.018536746501922607
12,performance.digitally,0.017400991171598434
12,equip,0.017399059608578682
13,suv,0.027494383975863457
13,base,0.027166355401277542
13,model,0.02174978330731392
13,score,0.018519088625907898
13,safety,0.01817542500793934
13,thigh,0.017546530812978745
13,feature,0.016960859298706055
13,support,0.016643669456243515
13,1.the,0.015669574961066246
13,heart,0.01507340557873249
14,car,0.021623244509100914
14,ride,0.01768469251692295
14,need,0.014821509830653667
14,get,0.014416426420211792
14,come,0.013343867845833302
14,model,0.01325308158993721
14,like,0.012627645395696163
14,price,0.012386183254420757
14,ground,0.012217780575156212
14,clearance,0.012217608280479908
15,space,0.026974428445100784
15,boot,0.023440886288881302
15,music,0.01994789019227028
15,connection(bluetooth,0.018259067088365555
15,wireless,0.018128883093595505
15,class,0.01568252593278885
15,speaker,0.015258464962244034
15,system,0.014573315158486366
15,venue,0.014349174685776234
15,wish,0.014348148368299007
16,way,0.015405450016260147
16,drive,0.015291176736354828
16,feature,0.015049801208078861
16,safety,0.013912223279476166
16,price,0.012476724572479725
16,compass,0.012201168574392796
16,sunroof,0.012147669680416584
16,segment,0.011694771237671375
16,l,0.010841939598321915
16,comfort,0.010649903677403927
17,sunroof,0.025731507688760757
17,panoramic,0.019639506936073303
17,feel,0.017652014270424843
17,etc,0.016742601990699768
17,tire,0.015919415280222893
17,eye,0.015325144864618778
17,beautifully,0.014503004029393196
17,catch,0.014321732334792614
17,make,0.01419930811971426
17,feedback,0.014189038425683975
18,chassis,0.023152543231844902
18,link,0.01978362537920475
18,music,0.019154176115989685
18,like,0.016813328489661217
18,jbl,0.016338367015123367
18,car,0.0162278451025486
18,style,0.01615677960216999
18,lighting,0.01581413671374321
18,airbag,0.015331105329096317
18,pleasure,0.015223510563373566
19,clarity,0.02111908048391342
19,price,0.01770365983247757
19,base,0.017151357606053352
19,safety,0.016299430280923843
19,smile,0.015535946004092693
19,come,0.015185626223683357
19,accord,0.01404459960758686
19,stand,0.01398321334272623
19,outdate,0.01392338890582323
19,bug,0.013922438025474548
20,range,0.025510117411613464
20,feature,0.024548973888158798
20,car,0.023693397641181946
20,take,0.021525360643863678
20,rim,0.021524744108319283
20,power,0.02148250862956047
20,price,0.01930299587547779
20,level,0.01811232417821884
20,engine,0.017574138939380646
20,like,0.015481095761060715
21,seat,0.0172458253800869
21,ventilate,0.017152247950434685
21,@,0.014756632968783379
21,future,0.013430721126496792
21,deal,0.013428693637251854
21,camera,0.012232798151671886
21,audio,0.012089215219020844
21,lamp,0.011922851204872131
21,tata,0.011797700077295303
21,breaker,0.011302893981337547
22,alloy,0.025801843032240868
22,cabin,0.022157002240419388
22,feature,0.019295470789074898
22,braking,0.018028996884822845
22,n,0.017320943996310234
22,course,0.01681625284254551
22,understand,0.014065088704228401
22,sunroof,0.013671834021806717
22,product,0.013359159231185913
22,tone,0.013355850242078304
23,pack,0.021347396075725555
23,car,0.015475097112357616
23,stability,0.014835222624242306
23,suck,0.014833594672381878
23,talk,0.013866179622709751
23,completely,0.013839085586369038
23,performance,0.012538084760308266
23,moon,0.011681599542498589
23,canton,0.01168074831366539
23,village,0.010932014323771
24,design,0.03292057290673256
24,feature,0.019225604832172394
24,form,0.015607723966240883
24,Harrier,0.015434316359460354
24,like,0.014921405352652073
24,30lakethis,0.014497684314846992
24,car,0.014461670070886612
24,look,0.014415537938475609
24,Tata,0.01387996505945921
24,performance,0.013442541472613811
25,Toyota,0.017842259258031845
25,user,0.017505213618278503
25,strike,0.01668499782681465
25,great,0.01668383553624153
25,maintenance,0.016177283599972725
25,catch,0.016126155853271484
25,cruiser,0.016075432300567627
25,car,0.015618201345205307
25,pocket,0.014464854262769222
25,squeak,0.013534482568502426
26,offer,0.020245950669050217
26,auto,0.018656592816114426
26,jerk,0.015248901210725307
26,breathtaking,0.014570250175893307
26,drive,0.014087741263210773
26,feel,0.014059101231396198
26,like,0.012627515941858292
26,vacation,0.01151785533875227
26,occupant,0.011401735246181488
26,protection,0.011401555500924587
27,thing,0.021336350589990616
27,panorama,0.01880454830825329
27,diesel,0.018190784379839897
27,feel,0.01687670312821865
27,Hector,0.01666376367211342
27,accord,0.016663236543536186
27,bit,0.014888361096382141
27,beast,0.01479469332844019
27,provide,0.012631131336092949
27,engine,0.012008368968963623
28,lot,0.02110425941646099
28,suffer,0.019741635769605637
28,enthusiast,0.01886635646224022
28,comfort,0.01860404573380947
28,con,0.018251076340675354
28,feel,0.017089704051613808
28,keen,0.01685948111116886
28,bump,0.01617877371609211
28,legroom,0.01614280417561531
28,adult,0.01534559391438961
29,parking,0.014652606099843979
29,poorly,0.014135649427771568
29,control,0.013773451559245586
29,car,0.013359170407056808
29,gl,0.013043010607361794
29,perform,0.012720465660095215
29,trim,0.01219359040260315
29,hill,0.011800100095570087
29,system,0.01162765733897686
29,importantly,0.011473320424556732
30,boost,0.020346298813819885
30,sun,0.01851261779665947
30,roof,0.017875468358397484
30,worry,0.01697102002799511
30,superb,0.01627064123749733
30,l1,0.01584565080702305
30,coolest,0.015845343470573425
30,temperature,0.01584502123296261
30,lack,0.015286133624613285
30,market,0.015081656165421009
31,offer,0.022623449563980103
31,sunroof,0.02143864333629608
31,like,0.014562571421265602
31,technology,0.014343197457492352
31,camera,0.0142904631793499
31,degree,0.014160501770675182
31,n,0.013867676258087158
31,vise,0.013069795444607735
31,combine,0.012638036161661148
31,pick,0.012629781849682331
32,tyre,0.024739988148212433
32,especially,0.020328907296061516
32,Bangalore,0.0186759103089571
32,breaker,0.015738947317004204
32,help,0.015738893300294876
32,monitoring,0.012807106599211693
32,pressure,0.012806367129087448
32,fail,0.012805945239961147
32,recognize,0.012805665843188763
32,speed,0.012520985677838326
33,lead,0.025541657581925392
33,mood,0.015345766209065914
33,hd,0.012423749081790447
33,resale,0.011842291802167892
33,city,0.011597570031881332
33,class,0.01128609199076891
33,hud,0.011192548088729382
33,tata,0.010890454053878784
33,hopefully,0.01067083328962326
33,launch,0.009986622259020805
34,yeah,0.017593007534742355
34,iteration,0.017592526972293854
34,India,0.015799859538674355
34,Mg,0.015155592001974583
34,premium,0.014743832871317863
34,lakh,0.014191527850925922
34,seamlessly,0.013899321667850018
34,hector,0.013763356022536755
34,connect,0.012520231306552887
34,planning,0.012460830621421337
35,boot,0.018072057515382767
35,space,0.01611901819705963
35,miss,0.015913039445877075
35,room,0.01580868475139141
35,music,0.014525133185088634
35,gtx+,0.01432269811630249
35,ahead,0.013875661417841911
35,flicker,0.012906938791275024
35,distract,0.012906279414892197
35,rpm,0.012695208191871643
36,space,0.01629074476659298
36,feature,0.016205571591854095
36,obviously,0.01516338624060154
36,comfort,0.014763791114091873
36,compromise,0.014736207202076912
36,run,0.014405529946088791
36,panaromic,0.013683962635695934
36,boot,0.013620872050523758
36,size,0.013205479830503464
36,barely,0.013154972344636917
37,road,0.03009447082877159
37,average,0.024764981120824814
37,boss,0.01796945184469223
37,Fortuner,0.01775292679667473
37,harrier,0.017750509083271027
37,SUV,0.015810707584023476
37,figure,0.012899507768452168
37,NA,0.012899324297904968
37,weight,0.012898605316877365
37,clearance,0.012389328330755234
38,punchier,0.017318282276391983
38,today,0.016223615035414696
38,road,0.015904460102319717
38,smoothly,0.015591735020279884
38,see,0.015566928312182426
38,1.4tsi,0.015263782814145088
38,drive,0.015056438744068146
38,petrol,0.013865913264453411
38,find,0.013841035775840282
38,match,0.013751843944191933
39,feel,0.028540724888443947
39,sound-,0.014726432971656322
39,°,0.014251713640987873
39,score,0.013595390133559704
39,gimmick,0.013254282996058464
39,cladding,0.013150384649634361
39,stitching,0.013148881494998932
39,Jeep,0.013044060207903385
39,creep,0.012093095108866692
39,spine,0.012092415243387222
40,build,0.024624446406960487
40,quality,0.022590376436710358
40,road,0.01744290255010128
40,prohibitively,0.01563751883804798
40,utility,0.01563597470521927
40,presence,0.015432610176503658
40,project,0.015346745029091835
40,pipeline,0.015346638858318329
40,use,0.015346026979386806
40,prove,0.015062599442899227
41,feature,0.024162428453564644
41,engine,0.022291552275419235
41,performance,0.019530918449163437
41,expect,0.019180621951818466
41,safety,0.015491921454668045
41,suck,0.013084938749670982
41,car,0.01243382878601551
41,roading,0.011990203522145748
41,screen,0.011877029202878475
41,yes,0.011615251190960407
