Topic,Word,P
2,road,26
2,presence,16
2,look,15
2,car,7
2,like,6
2,feel,6
2,performance,5
2,comfort,4
2,Creta,4
2,make,3
6,reduce,1
6,psi,1
6,tire,1
13,system,8
13,music,4
13,service,3
13,month,3
13,change,3
13,wireless,3
13,sunroof,3
13,center,2
13,issue,2
13,problem,2
18,product,1
18,lure,1
18,beauty,1
18,performance,1
23,space,35
23,boot,30
23,ground,24
23,clearance,24
23,car,13
23,seat,8
23,look,8
23,performance,6
23,leg,5
23,bit,5
26,car,4
26,offer,4
26,performance,3
26,tsi,2
26,<,2
26,lakh,2
26,match,2
26,sunroof,2
26,body,2
26,Alturas,2
27,car,32
27,price,24
27,range,18
27,look,17
27,performance,5
27,SUV,4
27,system,4
27,option,3
27,tag,3
27,color,3
28,sunroof,34
28,car,18
28,feel,8
28,panoramic,8
28,look,6
28,drive,5
28,make,5
28,interior,5
28,like,5
28,model,4
31,wireless,15
31,sunroof,13
31,charge,11
31,feature,9
31,like,6
31,car,6
31,etc,6
31,charging,6
31,get,5
31,add,4
32,%,4
32,cost,3
32,price,3
32,+,3
32,goodwill,2
32,gesture,2
32,compromise,2
32,delight,1
32,Hyundai,1
32,readily,1
33,seat,15
33,space,12
33,feel,11
33,comfort,9
33,boot,7
33,thigh,7
33,support,7
33,driver,4
33,row,3
33,adult,3
34,car,93
34,performance,78
34,look,35
34,feature,33
34,drive,32
34,engine,26
34,safety,24
34,family,21
34,suv,15
34,give,14
40,system,31
40,music,14
40,sound,10
40,car,9
40,feature,8
40,mood,6
40,light,5
40,look,4
40,love,3
40,lot,3
46,seat,31
46,feature,21
46,ventilate,20
46,sunroof,17
46,like,16
46,camera,10
46,price,10
46,miss,8
46,brake,7
46,parking,6
51,quality,59
51,car,50
51,build,46
51,look,38
51,road,29
51,presence,23
51,performance,22
51,feature,16
51,engine,10
51,hector,9
52,tata,2
52,build,1
52,quality,1
52,finesse,1
52,niggle,1
52,expect,1
52,vehicle,1
52,new,1
52,one,1
52,dishearten,1
56,cost,24
56,maintenance,13
56,service,10
56,car,8
56,road,7
56,quality,6
56,feel,6
56,seat,5
56,bit,4
56,drive,4
57,feature,26
57,safety,20
57,control,11
57,airbag,10
57,like,8
57,traction,6
57,ebd,6
57,parking,6
57,abs,5
57,sensor,5
74,look,6
74,place,3
74,wheel,3
74,outside,3
74,cost,2
74,roof,2
74,travel,1
74,need,1
74,fix,1
74,carrier,1
