Topic,Word,P
0,car,0.014514189213514328
0,music,0.013695781119167805
0,variant,0.011771926656365395
0,gorgeous,0.01132915448397398
0,high,0.011104902252554893
0,connection(bluetooth,0.010781686753034592
0,miss,0.010014209896326065
0,system,0.009991191327571869
0,design,0.009940776973962784
0,safety,0.009755391627550125
1,car,0.016357608139514923
1,high,0.014492891728878021
1,safety,0.01279455702751875
1,verycomfortable,0.012445462867617607
1,feature,0.011899481527507305
1,well,0.011738700792193413
1,good,0.011385411024093628
1,gl,0.011198748834431171
1,excellent,0.010914163663983345
1,ventilated,0.01089663989841938
2,sunroof,0.017469393089413643
2,open,0.01662779413163662
2,feature,0.013954759575426579
2,etc,0.01345772109925747
2,clearance,0.013421759009361267
2,ground,0.013420568779110909
2,nice,0.013048932887613773
2,look,0.011873151175677776
2,like,0.01168594416230917
2,voice,0.01141730509698391
3,power,0.013344801031053066
3,engine,0.012432104907929897
3,enjoy,0.012108787894248962
3,new,0.011891212314367294
3,SUV,0.011436414904892445
3,hector,0.01130696851760149
3,carsound,0.009730727411806583
3,base,0.008266754448413849
3,performance,0.007873550057411194
3,great,0.007833324372768402
4,nature,0.014813770540058613
4,quick,0.012718693353235722
4,peppy,0.01271766982972622
4,low,0.012669578194618225
4,Tucson,0.012076628394424915
4,civic,0.012028331868350506
4,view,0.011836318299174309
4,make,0.010347136296331882
4,blow,0.010168634355068207
4,claustrophobic,0.010128555819392204
5,boot,0.021593723446130753
5,good,0.019314397126436234
5,space,0.01922382041811943
5,road,0.017786413431167603
5,large,0.017628716304898262
5,presence,0.015831930562853813
5,sunroof,0.015128735452890396
5,remarkable,0.013072876259684563
5,panoramic,0.01051731314510107
5,equip,0.009603015147149563
6,enhance,0.016175655648112297
6,powerful,0.016090115532279015
6,goody,0.014125684276223183
6,dream,0.012764353305101395
6,range,0.012230542488396168
6,engine,0.011813301593065262
6,competition,0.011486685834825039
6,twitter,0.010987331159412861
6,part,0.010185224935412407
6,aboveall,0.010126898065209389
7,excellent,0.016477959230542183
7,adventure,0.014860443770885468
7,offer,0.013307963497936726
7,decent,0.012717691250145435
7,15k,0.011748682707548141
7,barely,0.011748630553483963
7,corner,0.010447601787745953
7,roll,0.010446229949593544
7,pricey,0.010329877957701683
7,wheel,0.010300781577825546
8,come,0.013816215097904205
8,quality,0.012824674136936665
8,list,0.01278727874159813
8,interior,0.012182830832898617
8,tech,0.012087280862033367
8,aci,0.011470448225736618
8,near,0.011453415267169476
8,feature,0.010930348187685013
8,claustrophobic,0.010711397975683212
8,adult,0.010709855705499649
9,good,0.019360989332199097
9,Tiguan,0.01580866612493992
9,road,0.014476367272436619
9,performance,0.01342489942908287
9,like,0.012937597930431366
9,experience,0.012517847120761871
9,engine,0.01242061983793974
9,presence,0.010985096916556358
9,add,0.01092140469700098
9,love,0.010756341740489006
10,quality,0.022011777386069298
10,superb,0.020483998581767082
10,great,0.019787225872278214
10,feature,0.018209343776106834
10,amazing,0.01737445965409279
10,system,0.015552643686532974
10,excellent,0.014580797404050827
10,awesome,0.01358398050069809
10,infotainment,0.013503005728125572
10,ventilate,0.01325585599988699
11,&,0.016663052141666412
11,large,0.016537141054868698
11,boot,0.01596454344689846
11,space,0.014228803105652332
11,music,0.012900200672447681
11,size,0.012661616317927837
11,good,0.011616019532084465
11,assist,0.011297310702502728
11,feel,0.011145374737679958
11,system,0.011100264266133308
12,speaker,0.015142735093832016
12,indian,0.013716855086386204
12,long,0.013315185904502869
12,journey,0.01272821519523859
12,panoramic,0.012263360433280468
12,system,0.011768478900194168
12,tall,0.011754995211958885
12,sportive,0.01140816044062376
12,infotainment,0.010217942297458649
12,wheel,0.00984663050621748
13,bit,0.01208737213164568
13,maintenance,0.011874482966959476
13,mesmerizing,0.01178080216050148
13,features-,0.011779379099607468
13,big,0.0117220189422369
13,little,0.011321358382701874
13,safety,0.01092363242059946
13,look,0.009847925044596195
13,n,0.009661907330155373
13,high,0.009611150249838829
14,base,0.015308649279177189
14,powerful,0.015285433270037174
14,comfort,0.013994344510138035
14,great,0.0131230428814888
14,model,0.012724166736006737
14,provide,0.012106547132134438
14,available,0.012089170515537262
14,affordable,0.012089153751730919
14,sunroof,0.012020672671496868
14,attention,0.012011542916297913
15,picnic,0.015953341498970985
15,aesthetic,0.014952599070966244
15,white,0.013459553942084312
15,color,0.012584815733134747
15,l.,0.011027351021766663
15,seriously,0.011027039028704166
15,stylish,0.010885815136134624
15,black,0.010216198861598969
15,number,0.009941840544342995
15,usable,0.00994178093969822
16,engine,0.024866951629519463
16,panorama,0.017833540216088295
16,vehicle,0.01728813722729683
16,performance,0.016034141182899475
16,dissatisfied,0.013982708565890789
16,excellent,0.013488369062542915
16,thing,0.012456739321351051
16,year,0.01120041124522686
16,fully,0.011200237087905407
